,0,1,2
0,217,265,1597
1,217,266,1604
2,217,266,1604
3,217,266,1604
4,217,266,1604
5,217,266,1604
6,218,266,1604
7,220,267,1611
8,224,268,1618
9,227,266,1604
10,230,267,1611
11,233,264,1597
12,238,266,1611
13,250,267,1618
14,255,264,1604
15,263,264,1604
16,276,266,1618
17,278,261,1590
18,285,260,1584
19,294,262,1597
20,301,262,1604
21,307,262,1604
22,311,262,1604
23,318,263,1611
24,324,263,1611
25,335,264,1618
26,342,262,1611
27,348,261,1604
28,355,264,1626
29,358,262,1611
30,361,262,1611
31,365,260,1604
32,373,262,1611
33,378,261,1611
34,389,263,1626
35,399,262,1618
36,405,260,1611
37,413,261,1618
38,418,261,1618
39,425,260,1611
40,429,260,1611
41,437,260,1618
42,448,263,1640
43,455,263,1640
44,459,260,1618
45,464,259,1618
46,477,264,1648
47,477,259,1618
48,483,258,1618
49,488,257,1611
50,499,259,1626
51,503,259,1626
52,501,255,1597
53,508,257,1611
54,514,257,1618
55,516,257,1618
