id, x, y, z, roll, pitch, yaw, mse, rmse, mae, mape
0,-14.81,61.55,2040.44,-175.57,-4.25,95.94,1.23,1.11,0.76,1.46
0,120.09,-117.37,2061.09,174.78,4.93,97.96,0.71,0.84,0.58,1.32
0,120.09,-117.37,2061.09,174.78,4.93,97.96,0.71,0.84,0.58,1.32
0,120.09,-117.37,2061.09,174.78,4.93,97.96,0.71,0.84,0.58,1.32
0,120.09,-117.37,2061.09,174.78,4.93,97.96,0.71,0.84,0.58,1.32
0,135.59,-129.46,1996.2,169.73,-10.9,96.35,2.16,1.47,0.89,2.12
0,175.01,-150.18,2051.0,172.8,1.17,99.04,0.88,0.94,0.63,1.23
0,175.01,-150.18,2051.0,172.8,1.17,99.04,0.88,0.94,0.63,1.23
0,175.01,-150.18,2051.0,172.8,1.17,99.04,0.88,0.94,0.63,1.23
0,175.01,-150.18,2051.0,172.8,1.17,99.04,0.88,0.94,0.63,1.23
0,175.01,-150.18,2051.0,172.8,1.17,99.04,0.88,0.94,0.63,1.23
0,175.01,-150.18,2051.0,172.8,1.17,99.04,0.88,0.94,0.63,1.23
0,174.52,-121.92,2045.83,166.03,-12.57,98.23,0.33,0.57,0.38,0.74
0,174.02,-117.71,2050.04,168.57,-3.28,97.93,0.52,0.72,0.55,1.09
0,174.02,-117.71,2050.04,168.57,-3.28,97.93,0.52,0.72,0.55,1.09
0,174.02,-117.71,2050.04,168.57,-3.28,97.93,0.52,0.72,0.55,1.09
0,174.02,-117.71,2050.04,168.57,-3.28,97.93,0.52,0.72,0.55,1.09
0,174.02,-117.71,2050.04,168.57,-3.28,97.93,0.52,0.72,0.55,1.09
0,174.41,-88.07,2044.74,162.16,-3.53,98.12,5.17,2.27,1.51,3.48
0,173.55,-85.41,2051.8,168.91,8.45,97.57,2.22,1.49,0.95,2.18
0,173.55,-85.41,2051.8,168.91,8.45,97.57,2.22,1.49,0.95,2.18
0,173.55,-85.41,2051.8,168.91,8.45,97.57,2.22,1.49,0.95,2.18
0,173.55,-85.41,2051.8,168.91,8.45,97.57,2.22,1.49,0.95,2.18
