id, x, y, z, roll, pitch, yaw, mse, rmse, mae, mape
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,26.16,130.8,3022.5,147.82,-2.76,97.57,34.13,5.84,4.37,8.79
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
0,24.5,133.54,3034.88,155.46,-2.08,97.11,8.09,2.84,2.21,4.55
