p1_x0,p1_y0,p1_x1,p1_y1,p1_x2,p1_y2,p1_x3,p1_y3,p1_x4,p1_y4,p1_x5,p1_y5,p1_x6,p1_y6,p1_x7,p1_y7,p2_x0,p2_y0,p2_x1,p2_y1,p2_x2,p2_y2,p2_x3,p2_y3,p2_x4,p2_y4,p2_x5,p2_y5,p2_x6,p2_y6,p2_x7,p2_y7,
335.0, 407.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
369.0, 327.5, 392.4, 337.5, 349.8, 350.5, 379.4, 353.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 295.0, 241.5, 320.5, 256.5, 465.6, 261.5, 277.6, 276.5, 443.0, 276.5, 309.4, 281.5, 445.0, 281.5, 447.0, 283.5, 
387.2, 214.5, 545.0, 216.5, 412.2, 229.5, 524.5, 232.5, 567.5, 248.5, 368.8, 253.5, 400.4, 257.5, 535.5, 262.5, 283.3, 201.5, 427.0, 203.5, 310.0, 217.5, 404.0, 218.5, 264.4, 241.5, 298.2, 245.5, 418.3, 251.5, 0.0, 0.0, 
387.7, 196.5, 413.0, 213.5, 504.6, 217.5, 368.1, 236.5, 400.6, 241.5, 549.5, 238.5, 517.0, 250.5, 0.0, 0.0, 265.0, 199.5, 412.0, 202.5, 292.0, 216.5, 388.0, 217.5, 439.0, 236.5, 244.0, 241.5, 279.0, 245.5, 403.0, 252.5, 
377.7, 198.5, 522.5, 206.5, 403.0, 217.5, 500.0, 220.5, 357.0, 239.5, 546.0, 238.5, 389.8, 245.5, 514.0, 252.5, 259.6, 205.5, 404.0, 209.5, 287.0, 223.5, 380.0, 224.5, 432.5, 242.5, 237.2, 247.5, 273.0, 253.5, 396.0, 258.5, 
377.7, 208.5, 524.0, 214.5, 403.8, 227.5, 502.0, 230.5, 355.0, 249.5, 550.0, 248.5, 389.0, 255.5, 516.5, 264.5, 249.0, 211.5, 399.6, 213.5, 277.4, 229.5, 375.6, 229.5, 431.0, 248.5, 226.4, 253.5, 263.0, 259.5, 392.6, 265.5, 
379.0, 210.5, 530.0, 215.5, 405.4, 229.5, 507.0, 231.5, 353.8, 253.5, 557.0, 250.5, 389.4, 259.5, 522.0, 266.5, 239.2, 212.5, 390.0, 216.5, 269.6, 231.5, 364.0, 234.5, 217.0, 257.5, 421.0, 254.5, 255.2, 263.5, 382.0, 270.5, 
378.0, 210.5, 526.5, 218.5, 406.6, 229.5, 502.0, 234.5, 354.4, 255.5, 391.3, 254.5, 391.1, 260.5, 517.5, 270.5, 223.5, 212.5, 376.5, 218.5, 254.6, 231.5, 350.0, 236.5, 201.5, 258.5, 408.0, 256.5, 240.2, 263.5, 367.6, 273.5, 
363.2, 210.5, 2.0, 219.5, 393.2, 229.5, 487.0, 236.5, 340.0, 256.5, 542.0, 256.5, 378.8, 261.5, 504.0, 272.5, 211.5, 212.5, 361.3, 219.5, 243.0, 231.5, 334.3, 237.5, 189.8, 259.5, 392.0, 257.5, 229.3, 264.5, 351.3, 275.5, 
354.7, 210.5, 504.0, 224.5, 385.6, 230.5, 477.6, 241.5, 331.3, 258.5, 370.6, 263.5, 532.5, 262.5, 494.0, 278.5, 195.0, 214.5, 347.0, 224.5, 227.0, 233.5, 320.0, 241.5, 174.0, 262.5, 214.0, 265.5, 378.3, 263.5, 338.0, 279.5, 
343.6, 211.5, 375.0, 230.5, 496.5, 226.5, 470.5, 242.5, 321.2, 259.5, 360.8, 263.5, 526.0, 262.5, 486.3, 279.5, 187.0, 215.5, 340.0, 226.5, 220.0, 233.5, 313.0, 243.5, 167.3, 264.5, 207.5, 266.5, 371.5, 264.5, 330.0, 282.5, 
334.8, 213.5, 492.0, 225.5, 367.0, 231.5, 464.0, 242.5, 314.0, 262.5, 354.0, 265.5, 480.3, 279.5, 0.0, 0.0, 178.0, 219.5, 337.3, 225.5, 211.8, 235.5, 310.0, 242.5, 159.8, 268.5, 369.3, 265.5, 199.5, 270.5, 328.0, 281.5, 
