dis,relia,err0,err1,err2,err3,angle0,angle1,angle2,mse,rmse,table,id0,id1,id2,id3
506.13754, 98.02226, -1.1502333, -1.0989637, -1.1021194, -1.3017998, -159.7057635433018, 0.624714554263987, -0.10757250926232487, 1.9774303868418721, 1.406211359235116, 0, 1, 4, 3, 2, 
501.89297, 98.19218, -1.0514145, -1.1921816, -1.3611393, -1.7418337, -178.3544344614499, 0.6792682872015772, -0.007895706413206742, 2.738922798168551, 1.654969123025729, 0, 1, 4, 3, 2, 
497.0898, 98.07997, -1.1166735, -1.4333572, -1.9350996, -1.4397678, 161.11649243586444, 0.7362949916134907, 0.12066560865433067, 3.3712921155451676, 1.8361078714348913, 0, 1, 4, 2, 3, 
492.6203, 97.63237, -1.3769941, -1.2141771, -1.681716, -1.531209, 144.31369539392378, 0.8069673681105368, 0.28699707241739225, 3.131183302798152, 1.7695149908373626, 0, 1, 4, 2, 3, 
488.18936, 97.9846, -1.1721392, -1.0535774, -1.192421, -1.4095945, 130.90475169479132, 0.8797046663626366, 0.4813350556676137, 2.0852374617931577, 1.444035131772478, 0, 1, 4, 2, 3, 
483.69098, 98.688126, -0.7629757, -1.1020947, -1.2057056, -1.1909275, 120.25317955398825, 0.9451508560934665, 0.7927559661460071, 1.7656175770861373, 1.3287654334329055, 0, 1, 4, 2, 3, 
477.63635, 98.01389, -1.1551008, -1.1552849, -1.0319252, -1.1498728, 111.80772871142288, 1.0084491229460306, 1.158663167289158, 1.7790101016821092, 1.333795374741609, 0, 1, 2, 4, 3, 
473.9215, 98.0502, -1.1339846, -1.3878384, -1.090805, -1.0804987, 106.54211844146123, 1.0381385339455769, 1.7694120135521323, 1.959143977022812, 1.399694244120055, 0, 1, 2, 4, 3, 
469.71347, 97.998055, -1.1643143, -1.2346134, -1.1058636, -1.2867088, 100.48058473245483, 1.0502727838044739, 2.713586362843669, 1.9940290604955218, 1.4121009384939598, 0, 1, 2, 4, 3, 
465.3451, 97.880295, -1.2328005, -1.0766764, -1.12356, -1.275362, 94.104800898589, 0.9857466200212585, 4.774582661548565, 1.9519174086271336, 1.3971103781115985, 0, 1, 2, 4, 3, 
499.58563, 97.91263, -1.1320686, -1.5163879, -1.3050852, -1.2215395, 85.26512450786163, -7.926452829018273, 117.97521954767906, 2.393442887984579, 1.547075592201163, 0, 2, 1, 3, 4, 
496.12387, 97.568115, -1.3189135, -1.2268744, -1.2000122, -1.0679493, 80.39721580388198, -5.023668592988994, 165.1467775315233, 2.074904938215286, 1.440453032283693, 0, 2, 1, 3, 4, 
491.10452, 97.7679, -1.2105627, -1.328373, -1.1926804, -1.2566576, 73.33834959282764, -4.059620294250153, 172.35900045728027, 2.2363760972668203, 1.495451803725824, 0, 2, 1, 3, 4, 
487.6075, 97.74037, -1.2254934, -1.0525026, -1.3257446, -1.1581364, 68.19042000748188, -5.461176314348256, 173.24541997997076, 2.075925916939585, 1.440807383705256, 0, 2, 3, 1, 4, 
482.96964, 98.04283, -1.0614538, -1.0478973, -1.0888128, -0.9709778, 59.59817959075594, -8.443231253687065, 172.59114593267134, 1.5769075296947372, 1.2557497878537496, 0, 2, 3, 1, 4, 
470.98422, 97.47697, -1.3683462, -1.2545862, -1.288187, -1.1433563, 18.992630549608833, -5.886434105638828, 0.9913301619588757, 2.2239005672325463, 1.4912748127801752, 0, 2, 3, 4, 1, 
467.6919, 97.63534, -1.2824554, -1.191576, -1.4759407, -1.0693951, 1.4315031365834607, -3.778597081868836, 0.10615406256747557, 2.2709141191409437, 1.5069552478892476, 0, 2, 3, 4, 1, 
493.65384, 98.23002, -0.8949127, -1.6127224, -1.1573954, -1.3804541, -18.59764614120527, -2.250898637875599, -0.36441485142540386, 2.484072145406715, 1.5760939519605788, 0, 3, 2, 4, 1, 
490.98315, 97.617714, -1.2044973, -1.5034342, -1.1867342, -1.366271, -34.54871678202506, -1.575937527785681, -0.5526781363113386, 2.4596622668712538, 1.568331045051157, 0, 3, 2, 4, 1, 
488.20895, 97.67461, -1.1757317, -1.1044912, -1.1119976, -1.45786, -47.09766749445439, -1.1608755718870247, -0.6404498483441653, 2.125232618656546, 1.4578177590688577, 0, 3, 2, 4, 1, 
483.4453, 98.03228, -0.9948883, -1.2964048, -1.2506332, -1.4193983, -58.35698033977214, -0.8275023892619504, -0.6690003904223377, 2.2349563776755215, 1.4949770492136398, 0, 3, 2, 4, 1, 
480.23306, 96.882866, -1.5760365, -1.3283968, -1.4109879, -1.6546316, -67.40497928964095, -0.5945803878822643, -0.6834925796527235, 3.129582563555729, 1.7690626228474018, 0, 3, 4, 2, 1, 
477.20114, 96.95817, -1.5379639, -1.4385748, -1.5591297, -1.6528025, -73.72911599933926, -0.4182296360784579, -0.6763586976265814, 3.3206947263971145, 1.8222773461789823, 0, 3, 4, 2, 1, 
475.05508, 97.209724, -1.410778, -1.1873884, -1.4558506, -1.6035547, -78.40800575716594, -0.270226886738671, -0.6584638653245618, 2.832131911644041, 1.682893909800627, 0, 3, 4, 2, 1, 
471.86127, 97.35445, -1.3376036, -1.3882275, -1.2626009, -1.4254265, -85.12864113565664, -0.12747619798047477, -0.632821770725262, 2.5448217581081414, 1.5952497478790402, 0, 3, 4, 2, 1, 
