id, x, y, z, roll, pitch, yaw, mse, rmse, mae, mape
0,176.06,124.36,998.18,-140.11,-5.07,91.89,0.22,0.47,0.33,0.65
0,176.93,124.35,998.21,-141.62,-5.74,92.4,0.37,0.61,0.45,0.82
0,177.05,124.44,998.88,-141.59,-5.34,92.4,0.15,0.39,0.29,0.55
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.73,124.1,996.24,-143.34,-7.81,92.92,0.68,0.83,0.51,0.96
0,177.65,123.42,996.56,-142.4,-7.36,92.5,0.38,0.62,0.44,0.9
0,177.65,123.42,996.56,-142.4,-7.36,92.5,0.38,0.62,0.44,0.9
0,177.65,123.42,996.56,-142.4,-7.36,92.5,0.38,0.62,0.44,0.9
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,177.89,123.58,997.9,-142.27,-5.13,92.49,0.74,0.86,0.63,1.32
0,178.5,122.57,995.58,-141.21,-4.95,92.28,0.35,0.59,0.48,0.94
0,178.5,122.57,995.58,-141.21,-4.95,92.28,0.35,0.59,0.48,0.94
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,178.61,121.24,996.3,-141.3,-6.79,92.3,0.16,0.4,0.34,0.68
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,179.76,120.53,996.36,-141.79,-7.35,92.23,0.41,0.64,0.48,0.87
0,180.98,118.21,995.09,-142.86,-6.53,92.1,0.5,0.7,0.52,1.03
0,180.98,118.21,995.09,-142.86,-6.53,92.1,0.5,0.7,0.52,1.03
0,180.98,118.21,995.09,-142.86,-6.53,92.1,0.5,0.7,0.52,1.03
0,180.98,118.21,995.09,-142.86,-6.53,92.1,0.5,0.7,0.52,1.03
0,180.98,118.21,995.09,-142.86,-6.53,92.1,0.5,0.7,0.52,1.03
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
0,181.22,118.37,996.43,-141.83,-6.25,92.29,0.15,0.39,0.26,0.57
