dis,relia,err0,err1,err2,err3,angle0,angle1,angle2,mse,rmse,table,id0,id1,id2,id3
1094.4152, 95.468666, -2.4575357, -1.8511162, -2.148965, -1.3920307, -1.0317327642278555, 22.48598179297895, 89.9861649136454, 6.274891999718517, 2.5049734528969596, 0, 2, 3, 4, 1, 
1060.2789, 97.06957, -1.5892963, -1.3395224, -1.568366, -0.99495506, -4.9573128188090845, 16.123963044485695, 87.88069504140142, 2.839405174609234, 1.6850534634275656, 0, 2, 3, 4, 1, 
1040.3601, 97.297615, -1.4656162, -1.2086792, -1.1282768, -0.68832207, -2.6384710225329804, 18.481824678995093, 89.361105036604, 2.1066738821998405, 1.4514385561228007, 0, 2, 3, 4, 1, 
1061.3127, 97.019966, -1.5067186, 0.42234707, -0.09386349, -1.4890547, 41.31975605909274, 6.353166010066812, 98.31275549928972, 3.560609841348593, 1.8869578271250773, 0, 3, 2, 4, 1, 
1074.1571, 97.25268, -1.38906, -0.39345646, -0.21543407, -2.682191, 42.186107319289064, 3.1199151219305525, 97.45282031891009, 5.711361194190387, 2.389845433117043, 0, 3, 2, 4, 1, 
1085.3317, 96.854485, -1.5903893, -0.2461853, -0.46571064, -2.477044, 41.12748198650299, 3.798975129377699, 96.9256042554278, 5.350459009483276, 2.3131059226683237, 0, 3, 2, 4, 1, 
1077.9858, 95.71914, -2.164423, -0.18487167, -0.7692852, -2.012207, 45.04050849340039, 4.190141778243232, 97.13070384963378, 5.2265043475861725, 2.2861549264181926, 0, 3, 2, 4, 1, 
1090.2633, 98.582016, -0.716938, 0.45445347, -0.06459999, -0.80232716, 44.80123272610361, 2.64511746205534, 96.18200579185748, 1.1863713650509105, 1.089206759550688, 0, 3, 2, 4, 1, 
1135.4529, 99.83367, -0.08409691, 0.44335938, 0.55837154, -0.4720602, 45.38671017367958, -0.20777387844145037, 95.35628322080693, 0.7797148020662794, 0.8830146103356837, 0, 3, 2, 4, 1, 
1380.5612, 98.09993, -1.0304899, -2.0846424, -1.1327524, -2.1322994, 43.15325535537392, 3.6073178644197728, 92.65728482523691, 5.169619709932466, 2.2736797729523097, 0, 2, 3, 4, 1, 
1328.3125, 97.50091, 1.3553658, 0.53776455, 0.7572193, 0.91476345, 42.30635671022101, -2.128024493076662, 88.59710461208066, 3.558432007422171, 1.886380663445788, 0, 2, 3, 4, 1, 
1520.3462, 95.37442, -2.508648, -1.8156567, -1.3341894, -2.4272623, 44.25425831352986, -2.056551148110566, 91.55096525791953, 6.788345390178938, 2.605445334329419, 0, 2, 3, 4, 1, 
1898.9979, 90.42864, -4.839326, -4.820511, -5.2250404, -3.9701567, 33.84632137298335, 4.029404526047187, 96.9415099841677, 31.608431408616838, 5.622137619146017, 0, 3, 2, 4, 1, 
1696.957, 97.7207, -1.2361603, -1.1039648, -0.8864422, -0.50464153, 38.454529052598154, 6.33738954732586, 97.41786841523209, 2.397576193310595, 1.548410860627952, 0, 2, 3, 4, 1, 
1565.7563, 91.40979, -4.6588345, -1.1326742, -1.8184834, -3.0733614, 52.77832302528127, -1.5838376762893314, 94.41753332503376, 46.15166421370431, 6.793501616523272, 0, 2, 3, 4, 1, 
1946.9246, 98.47099, -0.7730751, -0.26844025, -1.8880701, 2.7352362, 18.28429354633539, 14.233897357384931, 103.37745460386375, 14.809983010890745, 3.848374073669391, 0, 3, 2, 4, 1, 
2302.7168, 98.60712, -0.7554188, 1.60184, 0.5539398, 1.6876516, 21.9319167390922, 0.2510122634271768, 100.29015957614499, 12.801676525266968, 3.5779430578569817, 0, 2, 3, 4, 1, 
2241.3052, 90.304474, 5.258295, 4.7913685, 3.5155191, 6.5516596, 24.276001991070487, 8.638861696457749, 98.38473831263144, 40.71437280331861, 6.380781519791961, 0, 2, 3, 4, 1, 
2580.5845, 97.86836, -1.0489616, -0.2275629, -2.457324, -0.87423706, -142.0252754840376, 21.77455042834299, 77.30457023171111, 4.744949997914738, 2.178290613741596, 0, 4, 1, 3, 2, 
2580.2998, 97.97532, 0.9963293, -4.724675, 1.6331491, -5.4327, -127.36031029570766, 6.882339463781566, 79.8423839823549, 48.18992428406496, 6.941896303177177, 0, 4, 1, 3, 2, 
2981.516, 95.45139, -2.2383308, -1.1768847, -2.1780987, -4.539321, -142.4716305438021, 21.73045714450313, 88.67940120756778, 21.993840240388526, 4.6897590812736345, 0, 4, 1, 3, 2, 
1371.7136, 92.08623, -4.0012417, -1.975646, -2.4994526, -4.50434, 49.97882671787751, -3.7567521767897816, 89.31184469581197, 27.34459159918115, 5.22920563749229, 0, 3, 2, 4, 1, 
